규칙,LocalizationTable 규칙 + 마지막 형식 _00 꼴로. 연결된 대사는 _00부터 _01 _02 이런식으로 작성.,,,
Key,English,Korean,이미지,주석
IntroStoryTest_Ch01_00,I hate devil\n I miss my mom and dad,마족 녀석들이 자꾸 우리 마을에 쳐들어와서 마을 사람들을 다치게 했다!\n우리 엄마도 아빠도 내가 아주 어릴때 다쳐서 나를 데리러 오지 못한다.\n엄마 아빠가 보고싶다.,IntroStoryTest_Ch01_00,
IntroStoryTest_Ch01_01,Teacher said don't hate them but I'm alone,"수녀님은 ""로진이는 마족을 용서해야 한다""고 하셨는데 잘 모르겠다.\n그냥 혼자 지내는 집은 아주 조금 무서워서 아빠 모자를 안고 잔다.",IntroStoryTest_Ch01_01,
IntroStoryTest_Ch01_02,I find the book.\nI will find the statue.\nLet's go,오늘 교회에서 읽은 책에 소원을 이뤄주는 동상을 찾았다.\n동상을 찾아서 엄마랑 아빠가 돌아오게 해달라고 소원을 빌 것이다.\n수녀님이 알기 전에 바로 출발할 것이다,IntroStoryTest_Ch01_02,
IntroStoryTest_Ch01_03,I will never come back to this town alone,수녀님 몰래 마을을 나오는데 성공했다! 다시 마을로 돌아갈 때는 절대 혼자 가지 않을 것이다.,IntroStoryTest_Ch01_03,
IntroStoryTest_Ch01_04,At that time the slime pup out.\nIt's name is 'Ug',"그 때 갑자기 풀 숲에서 슬라임이 튀어나왔다!슬라임의 이름은 ""우꼬 4세""라고 한다.\n우꼬는 자기도 마침 소원을 비는 동상을 찾으러 간다고 했다.\n",IntroStoryTest_Ch01_04,
IntroStoryTest_Ch01_05,UG can undo time.\nI don't like devil but I think I have to protect UG,우꼬는 동상까지 가는 길에는 무시무시한 감시자가 있다고 했다.\n슬라임의 능력으로 시간을 돌릴 수 있으니 우꼬가 같이 가자고 했다.\n우꼬가 많이 무서워하는 것 같으니 내가 같이 가주려고 한다.,IntroStoryTest_Ch01_05,
IntroStoryTest_Ch01_06,UG want to be a strong slime.\nI said my wish is meet my family again.\nwe are going to find the statue.,우꼬는 동상에 소원을 빌어 강한 슬라임이 되고 싶다고 했다.\n나는 가족과 같이 집으로 돌아가는게 꿈이라고 했다.\n우리는 같이 동상을 찾으러 갔다.,IntroStoryTest_Ch01_06,
OutroStoryTest_Ch02_00,The statue was broken!\n We were sad ans surprised.,드디어 동상을 찾았는데 동상이 무너져있었다.\n 우리는 많이 놀라고 슬펐다.\n또 혼자서 집으로 돌아가야 하는 것이 싫었다.,OutroStoryTest_Ch02_00,
OutroStoryTest_Ch02_01,"Ug cougn't go back home.\n I said ""let's go my home.""",우꼬는 강해지지 않으면 집으로 돌아갈 수 없다고 했다.\n 우꼬의 가족들은 못된 것 같다.\n나는 우꼬에게 우리 집으로 같이 가자고 했다.,OutroStoryTest_Ch02_01,
OutroStoryTest_Ch02_02,Teacher worried about me.\n I told my travel story.,수녀님은 나를 많이 기다리고 걱정했었다고 했다.\n나는 동상에 소원은 못 빌었지만 새로운 가족을 만났다고 했다.,OutroStoryTest_Ch02_02,
OutroStoryTest_Ch02_03,"Teacher saw Ug on mu head.\n and said ""we have to take dinner now.""",수녀님은 내 머리 위에 우꼬를 보더니 축하한다고 했다.\n그리고 따듯한 밥 먹고 푹 쉬라고 이야기했다.,OutroStoryTest_Ch02_03,
